,location,bhk,total_sqft,bath,price,encoded_loc
55,Marathahalli,2,1220.0,2.0,57.0,165
56,Kanakpura Road,2,1005.0,2.0,36.68,131
57,Begur Road,2,1358.0,2.0,80.58,42
58,Hegde Nagar,3,1569.0,3.0,101.0,97
59,Haralur Road,2,1240.0,2.0,70.0,93
60,Hennur Road,3,2089.0,3.0,140.0,99
61,Kothannur,2,1206.0,2.0,48.23,149
62,Kalena Agrahara,2,1150.0,2.0,40.0,125
63,others,3,2511.0,3.0,205.0,240
64,ISRO Layout,6,4400.0,6.0,250.0,109
65,others,3,1660.0,2.0,105.0,240
66,Hennur Road,4,3203.5,2.0,224.5,99
67,Yelahanka,2,1326.0,2.0,78.0,236
68,Garudachar Palya,3,1325.0,2.0,60.8,82
69,Hegde Nagar,6,3000.0,7.0,210.0,97
70,Kanakpura Road,3,1665.0,3.0,88.0,131
71,Dasanapura,2,708.0,2.0,37.0,66
72,Kasavanhalli,2,1060.0,2.0,58.06,134
73,Sanjay nagar,2,1000.0,2.0,70.0,200
74,Electronic City,2,1000.0,2.0,28.88,77
75,others,3,1450.0,2.0,70.0,240
76,Thanisandra,2,1296.0,2.0,80.0,218
77,Domlur,3,1540.0,3.0,90.0,74
78,Sarjapura - Attibele Road,3,1330.0,2.0,48.0,204
79,others,2,1200.0,2.0,65.0,240
80,others,3,1200.0,3.0,90.0,240
81,Yeshwanthpur,3,2502.0,3.0,138.0,239
82,Kothanur,3,2400.0,2.0,150.0,150
83,others,2,1007.0,2.0,43.0,240
84,others,2,1200.0,2.0,50.0,240
85,others,2,966.0,2.0,49.9,240
86,Nagarbhavi,3,1630.0,2.0,98.0,174
87,others,2,782.0,2.0,55.68,240
88,Devanahalli,2,1260.0,2.0,66.78,68
89,others,3,1800.0,3.0,120.0,240
90,others,3,1413.0,2.0,75.0,240
91,Whitefield,2,1116.0,2.0,51.91,234
92,Electronic City,3,1530.0,2.0,45.9,77
93,Ramamurthy Nagar,4,3700.0,4.0,225.0,197
94,Sarjapur  Road,3,2497.0,3.0,140.0,203
95,Kengeri,3,1540.0,2.0,64.0,139
96,Thanisandra,3,1436.0,3.0,74.75,218
97,Malleshwaram,2,1100.0,2.0,75.0,164
98,Shampura,4,2650.0,4.0,150.0,208
99,Devanahalli,3,1282.0,2.0,68.52,68
100,Kadugodi,2,1050.0,2.0,34.0,121
101,LB Shastri Nagar,3,1600.0,3.0,65.0,155
102,others,2,945.0,2.0,54.0,240
103,Hormavu,2,1500.0,2.0,78.0,103
104,others,3,1870.0,3.0,110.0,240
105,Sarjapur,3,1600.0,3.0,75.0,202
106,Kudlu Gate,3,1535.0,3.0,83.0,152
107,Kanakpura Road,2,950.0,2.0,57.0,131
108,Devanahalli,2,1360.0,2.0,65.0,68
109,8th Phase JP Nagar,2,1073.5,2.0,54.005,8
110,Bommasandra Industrial Area,3,1280.0,3.0,50.4,52
111,others,3,1260.0,2.0,85.05,240
112,Yelahanka,5,3050.0,5.0,213.0,236
113,Kasavanhalli,3,1563.05,3.0,105.0,134
114,ISRO Layout,2,1000.0,2.0,60.0,109
115,Anandapura,2,1167.0,2.0,43.76,16
116,Kothanur,3,1828.0,3.0,110.0,150
117,Kengeri Satellite Town,2,890.0,2.0,35.0,140
118,others,3,1612.0,3.0,46.74,240
119,Mysore Road,3,1710.0,4.0,91.31,171
120,Kannamangala,2,957.0,2.0,58.0,132
121,Devarachikkanahalli,3,1250.0,2.0,44.0,69
122,Hulimavu,2,1125.0,2.0,50.0,108
123,Electronic City Phase II,2,1020.0,2.0,30.6,78
124,Kalena Agrahara,2,1200.0,2.0,50.0,125
125,Thanisandra,3,1735.0,3.0,135.0,218
126,Thanisandra,3,2050.0,3.0,145.0,218
127,others,3,1350.0,2.0,48.0,240
128,Hosa Road,2,1063.0,2.0,32.0,104
129,others,3,1904.0,3.0,150.0,240
130,Sarjapur,2,1242.5,2.0,43.49,202
131,others,3,1425.0,2.0,75.0,240
132,Electronic City,3,1500.0,2.0,64.5,77
133,Electronic City,2,1060.0,2.0,60.0,77
134,others,3,1470.0,2.0,70.0,240
135,Electronic City,2,1152.0,2.0,64.5,77
136,Electronic City,3,1350.0,2.0,56.0,77
137,CV Raman Nagar,3,1550.0,3.0,65.0,56
138,others,3,1500.0,3.0,100.0,240
139,Nagavara,1,400.0,1.0,14.0,176
140,Electronic City,2,770.0,1.0,36.0,77
141,Hulimavu,2,1242.0,2.0,51.0,108
142,Thanisandra,3,2144.0,3.0,145.0,218
143,Vijayanagar,3,1704.0,3.0,110.0,230
144,Electronic City,2,1070.0,2.0,52.0,77
145,others,2,1340.0,2.0,55.7,240
146,Electronic City,2,1025.0,2.0,46.0,77
147,KR Puram,2,1277.5,2.0,56.8,119
148,Marathahalli,2,1200.0,2.0,52.0,165
149,Kanakpura Road,4,2250.0,4.0,110.0,131
150,Pattandur Agrahara,3,1550.0,2.0,80.0,188
151,Marathahalli,2,1200.0,2.0,60.0,165
152,Yelahanka,2,1327.0,2.0,98.0,236
153,Kothanur,2,1186.0,2.0,58.0,150
154,others,3,1783.0,3.0,115.0,240
155,HSR Layout,3,1400.0,3.0,56.0,92
156,Nagasandra,2,980.0,2.0,48.0,175
157,EPIP Zone,2,1285.0,2.0,82.0,76
158,others,3,912.0,2.0,70.0,240
159,Whitefield,2,1225.0,2.0,47.6,234
160,Whitefield,2,1075.0,2.0,53.0,234
161,Kadugodi,3,1260.0,2.0,54.0,121
162,Yelahanka,3,1282.0,2.0,48.7,236
163,Kogilu,3,1909.0,3.0,88.0,146
164,Panathur,2,1359.0,2.0,87.0,186
165,others,2,1207.0,2.0,43.5,240
166,Kammasandra,3,1595.0,3.0,65.0,129
167,others,3,1798.0,3.0,89.0,240
168,Electronics City Phase 1,3,1475.0,3.0,78.29,79
169,others,3,1580.0,3.0,100.0,240
170,Dasarahalli,2,1295.0,2.0,65.0,67
171,Magadi Road,6,3600.0,6.0,141.0,159
172,Electronic City,1,589.0,1.0,27.0,77
173,others,3,1415.0,3.0,78.0,240
174,Sarjapur  Road,3,1787.0,3.0,98.29,203
175,Sarjapur  Road,3,1787.0,3.0,125.0,203
176,Koramangala,3,1475.0,2.0,90.0,148
177,others,4,2000.0,4.0,75.5,240
178,Sarjapur  Road,2,984.0,2.0,44.28,203
179,Devanahalli,3,1630.0,2.0,74.82,68
180,7th Phase JP Nagar,2,1080.0,2.0,72.0,7
181,others,2,1500.0,2.0,115.0,240
182,Hebbal,3,1900.0,3.0,119.0,95
183,Budigere,2,1153.0,2.0,56.4,55
184,others,2,1148.0,2.0,60.0,240
185,others,2,1110.0,2.0,55.0,240
186,Electronic City,2,1100.0,2.0,42.0,77
187,others,3,1500.0,2.0,65.0,240
188,others,2,1080.0,2.0,39.0,240
189,Vijayanagar,3,1933.0,3.0,129.0,230
190,Ramamurthy Nagar,5,3500.0,5.0,150.0,197
191,others,2,1060.0,2.0,60.0,240
192,others,3,1644.0,3.0,84.0,240
193,others,2,1285.0,2.0,72.5,240
194,Electronic City,3,1200.0,3.0,90.0,77
195,Electronic City,2,910.0,2.0,40.0,77
196,Kothanur,3,1577.0,3.0,70.0,150
197,others,3,4050.0,3.0,280.0,240
198,OMBR Layout,3,2420.0,3.0,185.0,181
199,others,2,1060.0,2.0,55.0,240
200,7th Phase JP Nagar,2,1270.0,2.0,93.0,7
201,others,2,1280.0,2.0,69.0,240
202,Horamavu Agara,4,1200.0,2.0,95.0,101
203,Sarjapur  Road,2,1025.0,2.0,36.0,203
204,Electronic City,2,1108.0,2.0,63.0,77
205,others,3,3045.0,3.0,170.0,240
206,Vijayanagar,3,1500.0,3.0,75.5,230
207,Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,193
208,Budigere,2,1162.0,2.0,59.9,55
209,Sarjapur  Road,2,1035.0,2.0,49.2,203
210,Attibele,4,1600.0,4.0,52.8,22
211,others,3,1464.0,3.0,46.0,240
212,Hennur Road,3,1866.0,2.0,61.58,99
213,others,2,700.0,1.0,26.0,240
214,Kalena Agrahara,3,1804.0,3.0,120.0,125
215,Sarjapur,2,913.0,2.0,32.0,202
216,Talaghattapura,3,1868.0,3.0,131.0,217
217,Kengeri Satellite Town,2,883.0,2.0,45.0,140
218,Kogilu,3,1664.0,2.0,73.95,146
219,Hegde Nagar,3,2026.0,3.0,132.0,97
220,Balagere,2,1210.0,2.0,80.9,28
221,others,4,4111.0,4.0,250.0,240
222,Kadugodi,3,1762.0,3.0,91.45,121
223,Jigani,3,1252.0,3.0,55.0,117
224,Gollarapalya Hosahalli,2,861.0,2.0,34.5,84
225,7th Phase JP Nagar,3,1420.0,2.0,100.0,7
226,Electronics City Phase 1,3,1490.0,3.0,78.8,79
227,Bisuvanahalli,3,1075.0,2.0,46.0,49
228,Old Madras Road,3,1425.0,2.0,94.0,183
229,Kalena Agrahara,2,1200.0,2.0,40.0,125
230,Kaggadasapura,3,1280.0,2.0,56.0,122
231,others,2,1084.0,2.0,50.0,240
232,Kanakpura Road,2,1017.0,2.0,51.25,131
233,Haralur Road,2,1027.0,2.0,44.0,93
234,Electronic City Phase II,2,1069.0,2.0,45.0,78
235,Hebbal,2,1349.0,2.0,98.2,95
236,9th Phase JP Nagar,2,1005.0,2.0,50.0,9
237,Jakkur,2,1417.0,2.0,75.0,114
238,TC Palaya,3,1475.0,3.0,98.0,216
239,others,2,950.0,2.0,47.0,240
240,others,4,2000.0,4.0,120.0,240
241,Sarjapur  Road,4,1863.0,3.0,104.0,203
242,Singasandra,2,1010.0,2.0,29.5,210
243,Kalena Agrahara,3,1425.0,2.0,70.0,125
244,Vijayanagar,3,1450.0,3.0,100.0,230
245,Kothanur,3,1847.0,3.0,105.0,150
246,AECS Layout,2,1100.0,2.0,45.0,10
247,Kanakpura Road,1,525.0,1.0,26.0,131
248,Mallasandra,3,1665.0,3.0,95.0,162
249,Begur,4,1664.0,4.0,65.0,41
250,JP Nagar,3,1850.0,3.0,150.0,113
251,Panathur,2,1438.0,2.0,100.0,186
252,others,3,1560.0,3.0,115.0,240
253,Yelahanka,2,1350.0,2.0,55.55,236
254,Kanakpura Road,3,1550.0,3.0,67.0,131
255,Malleshpalya,2,1140.0,2.0,46.5,163
256,others,2,850.0,2.0,27.0,240
257,Whitefield,2,1280.0,2.0,75.0,234
258,Munnekollal,2,1170.0,2.0,52.0,169
259,others,2,1113.0,2.0,51.0,240
260,Hennur Road,2,1385.0,2.0,83.09,99
261,Electronic City,2,1128.0,2.0,65.0,77
262,Haralur Road,3,1464.0,3.0,56.0,93
263,others,2,1200.0,2.0,55.0,240
264,Kaval Byrasandra,2,1200.0,2.0,52.0,137
265,Kaggalipura,3,1150.0,2.0,55.0,123
266,others,3,1645.0,3.0,95.0,240
267,Sarjapur  Road,2,1000.0,2.0,67.0,203
268,Haralur Road,4,2650.0,4.0,198.0,93
269,6th Phase JP Nagar,2,1192.0,2.0,74.0,6
270,Whitefield,2,1173.0,2.0,58.0,234
271,Uttarahalli,2,1020.0,2.0,45.0,225
272,Somasundara Palya,3,1600.0,3.0,64.0,211
273,others,2,1200.0,2.0,79.0,240
274,others,2,1230.0,2.0,48.0,240
275,Devarachikkanahalli,2,1250.0,2.0,40.0,69
276,Kalena Agrahara,2,1325.0,2.0,76.0,125
277,7th Phase JP Nagar,3,1850.0,3.0,150.0,7
278,Kanakpura Road,1,525.0,2.0,21.53,131
279,Basaveshwara Nagar,2,1200.0,2.0,65.0,39
280,Bommasandra,3,1260.0,3.0,49.36,51
281,Ardendale,2,1100.0,2.0,43.25,20
282,Harlur,2,1508.0,2.0,77.0,94
283,others,3,1592.0,3.0,75.0,240
284,Akshaya Nagar,2,1388.0,2.0,57.0,12
285,Electronic City Phase II,1,630.0,1.0,28.35,78
286,others,3,1762.0,3.0,125.0,240
287,others,2,950.0,2.0,50.0,240
288,Magadi Road,2,1116.0,2.0,50.0,159
289,Narayanapura,2,1308.0,2.0,89.04,178
290,others,3,1200.0,3.0,90.0,240
291,Bannerghatta Road,1,500.0,1.0,18.5,37
292,Hennur,2,1075.0,2.0,52.0,98
293,Bellandur,2,1205.0,2.0,66.0,43
294,5th Phase JP Nagar,2,1075.0,2.0,60.0,5
295,KR Puram,2,930.0,2.0,39.0,119
296,Balagere,2,1380.0,2.0,60.0,28
297,Kodigehaali,2,1166.0,2.0,55.0,143
298,Bannerghatta Road,2,1050.0,2.0,65.0,37
299,Begur Road,2,1200.0,2.0,46.8,42
300,Lakshminarayana Pura,3,1600.0,2.0,108.0,157
301,Billekahalli,3,1935.0,3.0,110.0,47
302,8th Phase JP Nagar,1,451.0,1.0,29.9,8
303,Electronic City,3,1800.0,3.0,95.0,77
304,Jalahalli,3,1400.0,3.0,77.0,115
305,Hegde Nagar,3,1801.0,3.0,115.0,97
306,Mahadevpura,2,1451.0,2.0,90.0,160
307,Anekal,2,1200.0,1.0,36.0,18
308,Begur Road,2,1160.0,2.0,44.0,42
309,Kanakpura Road,2,950.0,2.0,40.0,131
310,others,3,1629.0,3.0,79.0,240
311,Vijayanagar,3,1826.0,3.0,121.0,230
312,7th Phase JP Nagar,2,1245.0,2.0,94.0,7
313,Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,193
314,Sompura,2,825.0,2.0,33.0,212
315,Yeshwanthpur,3,1693.0,3.0,108.0,239
316,Electronics City Phase 1,2,1113.27,2.0,53.0,79
317,others,2,1460.0,2.0,58.0,240
318,Doddathoguru,2,1050.0,2.0,32.0,73
319,Dodda Nekkundi,2,1260.0,2.0,55.0,70
320,Hosur Road,2,1656.0,2.0,120.0,107
321,Chandapura,3,1208.0,3.0,45.0,58
322,Whitefield,4,3252.0,4.0,230.0,234
323,Battarahalli,2,1200.0,2.0,65.0,40
324,7th Phase JP Nagar,2,1175.0,2.0,82.0,7
325,others,2,1185.0,2.0,38.0,240
326,Kengeri,2,750.0,2.0,38.0,139
327,Kanakpura Road,3,1550.0,3.0,64.5,131
328,others,3,1760.0,3.0,88.0,240
329,Billekahalli,2,1125.0,2.0,62.0,47
330,Anandapura,2,1000.0,2.0,55.0,16
331,Bommasandra Industrial Area,2,1090.0,2.0,31.48,52
332,TC Palaya,2,1200.0,2.0,60.0,216
333,Budigere,3,1991.0,4.0,103.0,55
334,Ambalipura,2,1105.0,2.0,75.0,13
335,Hoodi,2,985.0,2.0,67.0,100
336,Balagere,3,1590.0,3.0,79.0,28
337,CV Raman Nagar,2,1120.0,2.0,55.0,56
338,others,2,1069.0,2.0,55.0,240
339,Marathahalli,3,1933.0,3.0,140.0,165
340,Hosur Road,2,1194.0,2.0,69.0,107
341,Brookefield,2,1150.0,2.0,69.0,54
342,Yelenahalli,2,1240.0,2.0,47.12,238
343,Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,193
344,others,3,1450.0,3.0,55.0,240
345,others,3,1630.0,3.0,68.29,240
346,Dasanapura,2,708.0,1.0,40.0,66
347,Whitefield,4,11890.0,4.0,700.0,234
348,Bellandur,2,1250.0,2.0,76.0,43
349,7th Phase JP Nagar,3,1400.0,2.0,95.0,7
350,Sarjapur  Road,3,1670.0,2.0,57.0,203
351,Ardendale,3,1750.0,3.0,100.0,20
352,Vittasandra,2,1404.0,2.0,71.0,233
353,Hoodi,3,1715.0,2.0,95.0,100
354,Electronic City,1,630.0,1.0,34.65,77
355,Harlur,3,1752.12,3.0,135.0,94
356,Hulimavu,3,1650.0,3.0,78.0,108
357,Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,193
358,Sarjapur  Road,2,1346.0,2.0,74.03,203
359,Hormavu,2,1150.0,2.0,55.0,103
360,AECS Layout,3,1620.0,3.0,98.0,10
361,Marathahalli,2,950.0,2.0,46.96,165
362,Harlur,3,2450.0,3.0,120.0,94
363,Electronic City Phase II,3,1220.0,2.0,35.23,78
364,others,2,850.0,2.0,30.0,240
365,Padmanabhanagar,2,1020.0,2.0,63.0,184
366,Chikkalasandra,2,1100.0,2.0,50.0,62
367,Hebbal,3,1760.0,2.0,130.0,95
368,Ambalipura,3,1800.0,3.0,110.0,13
369,Akshaya Nagar,2,1070.0,2.0,54.0,12
370,Vidyaranyapura,2,1440.0,2.0,95.0,229
371,Amruthahalli,2,900.0,2.0,40.0,15
372,Whitefield,2,1130.0,2.0,42.16,234
373,Kodigehalli,2,1270.0,2.0,98.0,144
374,others,2,1200.0,2.0,62.0,240
375,others,4,4800.0,4.0,235.0,240
376,others,2,1200.0,2.0,74.0,240
377,Subramanyapura,2,929.0,2.0,50.17,214
378,others,3,1464.0,3.0,56.0,240
379,others,4,2000.0,4.0,99.0,240
380,Chikkalasandra,2,1208.0,2.0,49.0,62
381,Hebbal Kempapura,2,1130.0,2.0,60.0,96
382,others,3,1753.0,3.0,120.0,240
383,Hoodi,2,1196.0,2.0,94.42,100
384,5th Phase JP Nagar,2,1150.0,3.0,52.5,5
385,Electronic City,2,1128.0,2.0,63.0,77
386,others,2,1000.0,2.0,53.0,240
387,Yelahanka,2,1035.0,2.0,45.0,236
388,Kereguddadahalli,2,950.0,2.0,32.0,141
389,Bisuvanahalli,3,1075.0,2.0,36.0,49
390,Whitefield,2,1040.0,2.0,48.5,234
391,others,2,720.0,2.0,45.0,240
392,Lingadheeranahalli,3,1511.0,3.0,95.0,158
393,others,3,1300.0,3.0,58.0,240
394,Hoodi,3,1545.0,3.0,68.75,100
395,Shampura,1,375.0,2.0,26.0,208
396,Vidyaranyapura,2,1062.0,2.0,38.0,229
397,others,2,1115.0,2.0,40.0,240
398,JP Nagar,2,1000.0,2.0,35.0,113
399,Kambipura,2,883.0,2.0,45.0,127
400,Sarjapur  Road,2,1195.0,2.0,70.0,203
401,others,1,700.0,1.0,41.0,240
402,Vittasandra,2,1246.0,2.0,67.0,233
403,others,4,1600.0,4.0,80.0,240
404,Haralur Road,4,2805.0,5.0,154.0,93
405,Begur Road,3,1584.0,3.0,65.0,42
406,Hosur Road,3,1175.0,2.0,48.0,107
407,others,3,1595.0,3.0,115.0,240
408,others,2,1353.0,2.0,110.0,240
409,Electronic City,3,1599.0,3.0,125.0,77
410,Whitefield,2,1150.0,2.0,70.0,234
411,KR Puram,2,1155.0,2.0,42.74,119
412,others,1,1200.0,2.0,85.0,240
413,Thanisandra,4,3000.0,4.0,120.0,218
414,Ramagondanahalli,2,1251.0,2.0,47.0,196
415,others,2,1028.0,2.0,45.5,240
416,Arekere,2,1222.0,2.0,45.0,21
417,Bannerghatta Road,3,1170.0,2.0,66.0,37
418,others,3,1385.0,2.0,48.48,240
419,HSR Layout,2,1372.0,2.0,68.0,92
420,Magadi Road,3,1282.0,2.0,49.0,159
421,Kanakpura Road,2,1135.0,2.0,39.73,131
422,Whitefield,3,1768.0,3.0,101.0,234
423,others,3,1325.0,2.0,90.0,240
424,Electronic City,3,1599.0,3.0,99.0,77
425,Whitefield,3,1500.0,3.0,61.95,234
426,Uttarahalli,2,1286.0,2.0,63.0,225
427,Kammanahalli,5,2845.0,5.0,140.0,128
428,others,3,1600.0,2.0,50.0,240
429,Hennur Road,2,1317.5,2.0,63.77,99
430,Munnekollal,2,1102.0,2.0,53.67,169
431,Yelahanka,2,1350.0,2.0,54.0,236
432,Banashankari,3,1200.0,2.0,42.0,29
433,others,2,1800.0,1.0,80.0,240
434,Chikkabanavar,2,950.0,2.0,40.0,61
435,Kanakpura Road,1,525.0,1.0,27.25,131
436,Attibele,2,656.0,2.0,25.0,22
437,others,2,1056.0,2.0,80.0,240
438,Bannerghatta Road,1,595.0,1.0,33.32,37
439,others,2,1080.0,2.0,50.0,240
440,7th Phase JP Nagar,3,2225.0,3.0,160.0,7
441,Electronics City Phase 1,3,1490.0,3.0,84.0,79
442,Sarjapur  Road,3,1550.0,3.0,100.0,203
443,Sarjapur  Road,3,1600.0,3.0,86.0,203
444,others,2,1160.0,2.0,55.0,240
445,Whitefield,4,4144.0,4.0,315.0,234
446,Sarjapur  Road,3,2100.0,3.0,125.0,203
447,Vittasandra,2,1404.0,2.0,69.3,233
448,others,3,1544.0,3.0,120.0,240
449,Banashankari Stage III,3,1305.0,2.0,58.7,31
450,Marathahalli,2,1230.0,2.0,80.0,165
451,others,2,1200.0,2.0,65.0,240
452,Harlur,3,1460.0,3.0,73.0,94
453,Gottigere,2,967.0,2.0,45.0,85
454,others,1,540.0,1.0,36.0,240
455,Hormavu,1,715.0,1.0,46.0,103
456,Mysore Road,2,1020.0,2.0,48.95,171
457,Jigani,2,1020.0,2.0,40.0,117
458,Koramangala,2,1253.0,2.0,102.0,148
459,others,2,1180.0,2.0,42.0,240
460,Nehru Nagar,2,961.0,2.0,38.0,180
461,Kanakapura,3,1419.0,3.0,75.0,130
462,others,2,1600.0,2.0,115.0,240
463,others,1,416.0,1.0,18.5,240
464,HSR Layout,3,1430.0,2.0,65.0,92
465,others,2,1260.0,2.0,45.0,240
466,others,3,1630.0,3.0,85.0,240
467,Sarjapur  Road,3,1249.0,3.0,44.71,203
468,Kalena Agrahara,3,1450.0,2.0,85.0,125
469,Konanakunte,3,2791.0,3.0,223.0,147
470,others,1,834.0,1.0,60.0,240
471,others,3,1125.0,4.0,70.0,240
472,Arekere,3,2060.0,3.0,140.0,21
473,Raja Rajeshwari Nagar,2,1133.0,2.0,49.07,193
474,Bisuvanahalli,3,1075.0,2.0,37.0,49
475,Vidyaranyapura,2,1200.0,2.0,55.0,229
476,Thanisandra,2,1075.0,2.0,45.8,218
477,Kaggadasapura,2,1140.0,2.0,40.0,122
478,Raja Rajeshwari Nagar,2,1090.0,2.0,42.0,193
479,R.T. Nagar,4,1500.0,4.0,70.0,191
480,Whitefield,3,1790.0,3.0,100.0,234
481,Hebbal,3,1920.0,3.0,134.0,95
482,HRBR Layout,2,1374.0,2.0,95.0,91
483,Bannerghatta Road,3,1445.0,3.0,95.0,37
484,Kanakapura,1,711.0,1.0,36.0,130
485,Tumkur Road,3,1500.0,3.0,95.0,223
486,Whitefield,3,1720.0,3.0,100.0,234
487,Vasanthapura,3,1400.0,3.0,60.0,228
488,Kundalahalli,2,1030.0,2.0,49.0,154
489,Mysore Road,2,1200.0,2.0,85.0,171
490,others,3,1375.0,3.0,70.0,240
491,Hegde Nagar,2,1050.0,1.0,56.0,97
492,Jalahalli,3,2250.0,3.0,160.0,115
493,Bellandur,2,1000.0,2.0,50.0,43
494,others,1,469.0,1.0,25.0,240
495,Marathahalli,4,3800.0,4.0,250.0,165
496,Kambipura,2,883.0,2.0,29.0,127
497,GM Palaya,3,1820.0,2.0,86.0,81
498,Singasandra,3,1440.0,2.0,65.0,210
499,others,6,3600.0,4.0,160.0,240
500,Mahadevpura,2,1225.0,2.0,48.0,160
501,Chikkalasandra,2,875.0,2.0,52.8,62
502,Jalahalli East,1,750.0,1.0,40.0,116
503,6th Phase JP Nagar,2,1180.0,2.0,80.0,6
504,Haralur Road,2,1194.0,2.0,47.0,93
505,Hennur Road,3,1500.0,2.0,62.0,99
506,others,2,1160.0,2.0,52.2,240
507,Sarjapur,2,1128.0,2.0,60.0,202
508,others,3,1220.0,2.0,35.23,240
509,Sarjapur  Road,2,1210.0,2.0,58.0,203
510,Kanakpura Road,3,1100.0,2.0,58.0,131
511,Bommasandra,3,1200.0,3.0,46.0,51
512,Haralur Road,4,3385.0,5.0,260.0,93
513,others,3,1641.0,3.0,66.0,240
514,Horamavu Agara,2,1200.0,2.0,45.0,101
515,Raja Rajeshwari Nagar,2,1260.0,2.0,67.39,193
516,Mahadevpura,3,1720.0,3.0,78.0,160
517,Yelahanka,2,1132.5,2.0,48.13,236
518,Yelahanka,2,1210.0,2.0,45.98,236
519,Bisuvanahalli,3,1075.0,2.0,45.0,49
520,Thanisandra,3,1702.0,3.0,130.0,218
521,Raja Rajeshwari Nagar,2,1141.0,2.0,38.55,193
522,others,3,2072.0,3.0,108.0,240
523,JP Nagar,5,5520.0,2.0,375.0,113
524,others,3,1200.0,2.0,70.0,240
525,others,3,1350.0,3.0,77.0,240
526,others,3,1180.0,2.0,78.34,240
527,Bannerghatta Road,3,1640.0,2.0,120.0,37
528,Kodichikkanahalli,3,1190.0,2.0,57.0,142
529,Marathahalli,2,1019.0,2.0,49.85,165
530,Akshaya Nagar,3,1250.0,3.0,40.0,12
531,Whitefield,2,1140.0,2.0,56.0,234
532,Lingadheeranahalli,3,1683.0,3.0,109.0,158
533,Kaggadasapura,3,1515.0,3.0,83.3,122
534,Hoodi,4,2118.0,4.0,111.0,100
535,Bannerghatta Road,4,1380.0,3.0,58.0,37
536,Varthur Road,2,1083.0,2.0,61.75,227
537,others,3,2300.0,3.0,120.0,240
538,others,2,1240.0,2.0,60.0,240
539,others,3,1750.0,3.0,120.0,240
540,others,2,1230.0,2.0,43.48,240
541,Abbigere,2,985.0,2.0,40.39,11
542,Tindlu,3,1500.0,2.0,87.0,222
543,Electronic City,2,1125.0,2.0,32.49,77
544,others,2,950.0,2.0,44.0,240
